entity_name,sales_source_system,sales_source_id,debt_source_system,debt_source_id,sale_price,close_date,broker_name,property_type,loan_amount,orig_date,maturity_date,lender_name,loan_type,notes,entity_resolution_confidence,fired_rules,composite_score,rationale
Sagebrush Partners,sales_records,SR-1223,debt_records,DBT-2024-244,850000,05/20/2024,Nathan Ford,Multifamily,6900000,"February 8, 2024",2028-06-25,Lowcountry Bank,Term Loan,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Union Pacific Trust Fund,sales_records,SR-1109,debt_records,DBT-2023-114,6250000,2024-12-13,Maria Chen,Industrial,"$7,450,000",2024-09-22,2028-05-12,Midlands Trust,Term Loan,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Maple Crest Logistics,sales_records,SR-1243,debt_records,DBT-2024-256,"$6,150,000",06/23/2024,Alicia Fox,Retail,"$4,900,000",08-Aug-24,2027-10-13,Piedmont Triad Bank,Refinance,,0.9881,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Delta Ridge Investors,sales_records,SR-1179,debt_records,DBT-2024-180,6200000,04/02/2024,Alicia Fox,Retail,2450000,2024-01-27,2027-12-11,Capitol Lakes Bank,Refinance,,0.9881,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Juniper Bend Office,sales_records,SR-1015,debt_records,DBT-2024-013,"$5,500,000",2024-05-12,Nathan Ford,Industrial,5950000,10/29/2024,2027-11-04,Gulf Coast Bank,Construction Loan,,0.987,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Ferngate Investors,sales_records,SR-1238,debt_records,DBT-2023-253,"$6,100,000",2024-09-10,Derek Wu,Multifamily,7400000,02/10/2024,2028-01-05,Empire State Trust,Refinance,,0.9863,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Quarrystone Realty,sales_records,SR-1341,debt_records,DBT-2024-340,7050000,09/16/2024,Maria Chen,Industrial,2400000,2024-03-24,2027-10-09,Piedmont Triad Bank,Refinance,,0.9863,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Copper Basin Industrial,sales_records,SR-1112,debt_records,DBT-2024-118,"$6,800,000",11/09/2024,K. Bennett,Land,"$5,600,000",2024-04-09,2028-03-15,Lakefront Bank,Construction Loan,,0.9858,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Silverline Logistics,sales_records,SR-1118,debt_records,DBT-2024-124,6450000,2024-08-24,J. Alvarez,Multifamily,"$4,000,000",08/21/2024,2028-04-04,Golden State Credit Union,Construction Loan,,0.9838,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Oakwood Logistics,sales_records,SR-1331,debt_records,DBT-2024-329,"$1,100,000",2024-12-23,,Office,7200000,11-Oct-24,2027-06-17,Piedmont Triad Bank,Construction Loan,,0.9813,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Marlin Bay Investors LP,sales_records,SR-1075,debt_records,DBT-2024-076,"$13,750,000",25-Sep-24,Priya Nair,Retail,9900000,18-Apr-24,2026-08-28,Front Range Bank,Bridge Loan,,0.9811,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Underhill Realty,sales_records,SR-1307,debt_records,DBT-2024-312,"$9,550,000",03/05/2024,S. Whitfield,Industrial,1600000,"December 3, 2024",2027-05-02,Republic Trust Bank,Refinance,,0.9803,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Overlook Fund LLC,sales_records,SR-1145,debt_records,DBT-2024-148,"$14,100,000","August 5, 2024",K. Bennett,Office,"$4,550,000",02/05/2024,2028-03-03,Hoosier Capital Bank,Term Loan,,0.9791,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Valley Forge Ventures,sales_records,SR-1283,debt_records,DBT-2024-294,"$9,300,000",2024-11-19,Derek Wu,Office,"$9,750,000",09/27/2024,2026-12-12,Desert Southwest Bank,Refinance,,0.9527,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Ember Ridge Capital Inc,sales_records,SR-1016,debt_records,DBT-2024-014,"$5,800,000",2024-12-17,J. Alvarez,Retail,2150000,"September 22, 2024",2028-05-01,Desert Southwest Bank,Refinance,,0.9501,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Larkspur Logistics,sales_records,SR-1169,debt_records,DBT-2024-170,4100000,17-Nov-24,Nathan Ford,Multifamily,6050000,2024-10-08,2028-07-12,Sandia Federal Bank,Term Loan,,0.9458,high_value_deal; loan_maturing_soon,4,
Ashford Investors,sales_records,SR-1244,debt_records,DBT-2024-258,"$14,550,000",12/03/2024,J. Alvarez,Retail,1900000,04/21/2024,2028-07-07,Hoosier Capital Bank,Term Loan,,0.943,high_value_deal; loan_maturing_soon,4,
Marlin Bay Trust Inc,sales_records,SR-1020,debt_records,DBT-2024-022,"$10,900,000",06-Feb-24,Nathan Ford,Land,"$9,000,000","October 18, 2024",2026-10-27,Crescent City Lending,Refinance,,0.924,high_value_deal; loan_maturing_soon,4,
Marlin Bay Trust Inc,sales_records,SR-1399,debt_records,DBT-2024-022,"$10,900,000",06-Feb-24,Nathan Ford,Land,"$9,000,000","October 18, 2024",2026-10-27,Crescent City Lending,Refinance,,0.924,high_value_deal; loan_maturing_soon,4,
Ashford Office Group,sales_records,SR-1309,debt_records,DBT-2024-315,"$11,700,000",2024-11-20,J. Alvarez,Multifamily,950000,13-Feb-24,2028-08-05,First Capital Bank,Refinance,,0.8863,high_value_deal; loan_maturing_soon,4,
Brightline Investors Inc,sales_records,SR-1161,debt_records,DBT-2024-166,"$14,850,000",11/27/2024,Tom O'Neill,Office,8850000,"April 21, 2024",2030-03-14,Crescent City Lending,Bridge Loan,,1.0,high_value_deal; strong_relationship_match,3,
Highland Park Partners,sales_records,SR-1363,debt_records,DBT-2024-363,11750000,"November 26, 2024",Derek Wu,Industrial,2500000,02-Jun-24,2032-02-04,Desert Southwest Bank,Refinance,,1.0,high_value_deal; strong_relationship_match,3,
Prairie Wind Fund,sales_records,SR-1003,debt_records,DBT-2024-003,"$8,850,000",04/06/2024,R. Delgado,Land,"$1,350,000",13-Sep-24,2029-05-13,First Capital Bank,Term Loan,,1.0,high_value_deal; strong_relationship_match,3,
Fairview Trust,sales_records,SR-1173,debt_records,DBT-2024-174,12300000,"April 6, 2024",R. Delgado,Multifamily,4000000,"May 16, 2024",2026-03-02,Highline Lending,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Foundry Square Commercial,sales_records,SR-1198,debt_records,DBT-2024-210,10300000,04-Jan-24,R. Delgado,Retail,2900000,"March 4, 2024",2029-08-21,Sandia Federal Bank,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Palmetto Coast Capital Group,sales_records,SR-1311,debt_records,DBT-2024-318,7250000,"December 4, 2024",Maria Chen,Office,850000,2024-07-18,2029-09-08,Volunteer State Bank,Bridge Loan,,1.0,high_value_deal; strong_relationship_match,3,
Golden Gate Logistics LLC,sales_records,SR-1090,debt_records,DBT-2024-092,13100000,10/06/2024,Wendy Park,Land,"$3,200,000","June 24, 2024",2031-06-16,Golden State Credit Union,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Silverpine Office,sales_records,SR-1139,debt_records,DBT-2023-141,"$13,200,000",2024-09-30,Priya Nair,Land,5000000,01/25/2024,2031-05-29,Desert Southwest Bank,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Rosewood Logistics,sales_records,SR-1328,debt_records,DBT-2024-326,6000000,10/22/2024,Tom O'Neill,Retail,"$6,150,000",2024-06-15,2031-12-17,Pacific Northwest Trust,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Overlook Commercial Partners,sales_records,SR-1036,debt_records,DBT-2024-041,"$7,350,000",2024-02-24,Maria Chen,Office,7150000,2024-09-07,2032-01-26,Highline Lending,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Quarrystone Retail,sales_records,SR-1084,debt_records,DBT-2024-086,"$12,150,000",30-Dec-24,,Office,6650000,07/12/2024,2030-11-09,Desert Southwest Bank,Term Loan,,1.0,high_value_deal; strong_relationship_match,3,
Vantage Point Fund,sales_records,SR-1155,debt_records,DBT-2024-158,10450000,"September 20, 2024",Tom O'Neill,Office,4800000,"August 17, 2024",2025-08-21,First Capital Bank,Bridge Loan,,1.0,high_value_deal; strong_relationship_match,3,
Amberleaf Realty,sales_records,SR-1327,debt_records,DBT-2024-325,"$7,050,000",12-Jun-24,Tom O'Neill,Land,"$550,000",2024-10-14,2026-02-02,Piedmont Capital,Refinance,,1.0,high_value_deal; strong_relationship_match,3,
Copperfield Ventures,sales_records,SR-1348,debt_records,DBT-2024-351,5650000,08/03/2024,Nathan Ford,Office,"$6,200,000",10/05/2024,2025-07-24,Gulf Coast Bank,Refinance,,1.0,high_value_deal; strong_relationship_match,3,
Quarrystone Capital,sales_records,SR-1122,debt_records,DBT-2024-128,2500000,2024-02-26,Nathan Ford,Retail,"$3,350,000",2024-09-10,2027-12-07,Pacific Northwest Trust,Term Loan,,1.0,loan_maturing_soon; strong_relationship_match,3,
Westbrook Capital,sales_records,SR-1301,debt_records,DBT-2024-305,14200000,2024-12-25,,Retail,"$3,850,000","November 16, 2024",2030-09-25,First Capital Bank,Bridge Loan,,1.0,high_value_deal; strong_relationship_match,3,
Falcon Creek Properties,sales_records,SR-1042,debt_records,DBT-2024-046,"$4,750,000","October 10, 2024",Derek Wu,Retail,5950000,"April 25, 2024",2029-04-13,Front Range Bank,Construction Loan,,1.0,high_value_deal; strong_relationship_match,3,
Harborview Commercial,sales_records,SR-1057,debt_records,DBT-2024-063,"$9,950,000",11-Nov-24,Alicia Fox,Multifamily,4100000,06-Mar-24,2028-12-25,Lowcountry Bank,Construction Loan,,0.9881,high_value_deal; strong_relationship_match,3,
Ashford Residential LLC,sales_records,SR-1324,debt_records,DBT-2024-324,"$3,800,000",09/08/2024,Alicia Fox,Retail,8700000,"January 24, 2024",2025-08-05,First Capital Bank,Term Loan,,0.9881,high_value_deal; strong_relationship_match,3,
Willowbrook Investors,sales_records,SR-1386,debt_records,DBT-2024-388,"$5,900,000",01-Nov-24,S. Whitfield,Industrial,"$4,600,000",02/24/2024,2025-08-03,Pacific Northwest Trust,Construction Loan,,0.9881,high_value_deal; strong_relationship_match,3,
Millbrook Commercial,sales_records,SR-1113,debt_records,DBT-2024-119,"$5,300,000",05/21/2024,,Industrial,"$8,300,000",11/02/2024,2030-09-12,Golden State Credit Union,Refinance,,0.9876,high_value_deal; strong_relationship_match,3,
Twin Rivers Retail LP,sales_records,SR-1276,debt_records,DBT-2023-290,"$13,200,000",11/20/2024,Tom O'Neill,Office,"$9,850,000",21-Jun-24,2030-02-08,Highline Lending,Refinance,,0.9876,high_value_deal; strong_relationship_match,3,
Foundry Square Logistics Inc,sales_records,SR-1058,debt_records,DBT-2024-064,7700000,2024-09-08,Derek Wu,Retail,5550000,2024-04-30,2029-07-21,Pacific Northwest Trust,Construction Loan,,0.9873,high_value_deal; strong_relationship_match,3,
Lakeshore Investors,sales_records,SR-1158,debt_records,DBT-2024-161,14000000,08-May-24,Wendy Park,Multifamily,"$9,550,000","July 11, 2024",2029-03-06,Volunteer State Bank,Bridge Loan,,0.987,high_value_deal; strong_relationship_match,3,
Coastal Bend Office,sales_records,SR-1220,debt_records,DBT-2024-241,"$1,000,000","December 10, 2024",Tom O'Neill,Office,"$6,900,000",2024-11-10,2029-08-06,Golden State Credit Union,Refinance,,0.987,high_value_deal; strong_relationship_match,3,
Hollow Creek Residential,sales_records,SR-1383,debt_records,DBT-2024-385,"$4,550,000",2024-10-17,S. Whitfield,Land,5000000,10/11/2024,2031-06-17,First Capital Bank,Construction Loan,,0.9863,high_value_deal; strong_relationship_match,3,
Yellowpine Capital,sales_records,SR-1316,debt_records,DBT-2024-322,"$3,800,000",12/28/2024,S. Whitfield,Office,6650000,2024-12-11,2031-02-28,Highline Lending,Bridge Loan,,0.9863,high_value_deal; strong_relationship_match,3,
Highland Park Industrial,sales_records,SR-1369,debt_records,DBT-2024-374,"$1,900,000","July 7, 2024",,Industrial,7350000,30-Aug-24,2026-04-18,Lakefront Bank,Construction Loan,,0.9863,high_value_deal; strong_relationship_match,3,
Overlook Partners,sales_records,SR-1211,debt_records,DBT-2024-231,12950000,04/08/2024,K. Bennett,Retail,"$3,650,000",2024-05-11,2026-08-11,Gulf Coast Bank,Refinance,,0.9856,high_value_deal; strong_relationship_match,3,
Ironwood Development Inc,sales_records,SR-1247,debt_records,DBT-2023-263,"$3,600,000",20-Aug-24,Maria Chen,Multifamily,9700000,"October 17, 2024",2029-03-29,Empire State Trust,Refinance,,0.9852,high_value_deal; strong_relationship_match,3,
Driftwood Development,sales_records,SR-1187,debt_records,DBT-2024-194,"$5,550,000",08/20/2024,Alicia Fox,Industrial,"$800,000","July 26, 2024",2028-10-23,Gulf Coast Bank,Bridge Loan,,0.9845,high_value_deal; strong_relationship_match,3,
Crestpoint Commercial,sales_records,SR-1170,debt_records,DBT-2023-172,"$6,500,000",04/11/2024,R. Delgado,Land,4650000,"August 30, 2024",2026-02-14,Sierra Nevada Bank,Construction Loan,,0.9845,high_value_deal; strong_relationship_match,3,
Greystone Residential LLC,sales_records,SR-1256,debt_records,DBT-2024-272,"$5,050,000",04/08/2024,Nathan Ford,Land,9900000,02/27/2024,2031-09-12,Capitol Lakes Bank,Bridge Loan,,0.9845,high_value_deal; strong_relationship_match,3,
Marlin Bay Industrial,sales_records,SR-1092,debt_records,DBT-2024-098,"$5,050,000","August 28, 2024",Alicia Fox,Industrial,"$6,350,000",2024-07-03,2030-06-01,Desert Southwest Bank,Refinance,,0.9845,high_value_deal; strong_relationship_match,3,
Palmetto Coast Office,sales_records,SR-1245,debt_records,DBT-2024-259,"$10,800,000",18-Nov-24,Maria Chen,Industrial,"$2,350,000","July 12, 2024",2031-03-27,Lakefront Bank,Bridge Loan,,0.9845,high_value_deal; strong_relationship_match,3,
Hearthstone Holdings,sales_records,SR-1163,debt_records,DBT-2024-167,9200000,25-Sep-24,Wendy Park,Retail,5100000,08/16/2024,2025-07-20,Piedmont Triad Bank,Refinance,,0.9838,high_value_deal; strong_relationship_match,3,
Timberlake Logistics,sales_records,SR-1385,debt_records,DBT-2024-387,"$6,400,000","December 31, 2024",R. Delgado,Multifamily,"$3,800,000",08/05/2024,2029-04-15,Great Lakes Commercial Bank,Bridge Loan,,0.9838,high_value_deal; strong_relationship_match,3,
Hollow Creek Industrial LP,sales_records,SR-1076,debt_records,DBT-2024-077,"$4,150,000",06/07/2024,Wendy Park,Land,6800000,"November 21, 2024",2028-12-23,Midlands Trust,Bridge Loan,,0.9832,high_value_deal; strong_relationship_match,3,
Bayshore Commercial,sales_records,SR-1160,debt_records,DBT-2024-163,"$6,900,000",2024-07-30,,Industrial,"$2,250,000",08/23/2024,2029-02-15,Delta Commercial Credit,Term Loan,,0.9831,high_value_deal; strong_relationship_match,3,
Ashgrove Trust,sales_records,SR-1051,debt_records,DBT-2024-057,"$1,250,000",04-Feb-24,Elena Ruiz,Land,"$7,950,000",2024-11-24,2031-04-13,Empire State Trust,Construction Loan,,0.9828,high_value_deal; strong_relationship_match,3,
Northgate Ventures,sales_records,SR-1273,debt_records,DBT-2024-286,"$2,350,000",05/21/2024,J. Alvarez,Office,5700000,04/11/2024,2030-12-09,First Capital Bank,Construction Loan,,0.9822,high_value_deal; strong_relationship_match,3,
Bluepeak Logistics,sales_records,SR-1217,debt_records,DBT-2024-234,"$1,950,000",11/02/2024,Elena Ruiz,Office,4200000,"December 23, 2024",2027-02-13,Desert Southwest Bank,Refinance,,0.9822,loan_maturing_soon; strong_relationship_match,3,
Ferngate Holdings,sales_records,SR-1055,debt_records,DBT-2024-061,4500000,2024-04-13,K. Bennett,Land,2300000,17-Oct-24,2026-12-24,Gateway Commercial Bank,Bridge Loan,,0.9813,loan_maturing_soon; strong_relationship_match,3,
Timberlake Realty,sales_records,SR-1322,debt_records,DBT-2024-323,"$13,050,000",04/13/2024,S. Whitfield,Land,3250000,"June 15, 2024",2028-09-15,Lowcountry Bank,Bridge Loan,,0.9813,high_value_deal; strong_relationship_match,3,
Ironbridge Office,sales_records,SR-1085,debt_records,DBT-2024-087,800000,2024-06-16,S. Whitfield,Multifamily,5600000,"January 7, 2024",2031-04-17,Capitol Lakes Bank,Term Loan,,0.9813,high_value_deal; strong_relationship_match,3,
Cascade Logistics,sales_records,SR-1154,debt_records,DBT-2024-156,8750000,08/07/2024,Maria Chen,Industrial,"$7,650,000",2024-10-25,2030-06-04,Delta Commercial Credit,Construction Loan,,0.9813,high_value_deal; strong_relationship_match,3,
Ironbridge Partners LP,sales_records,SR-1136,debt_records,DBT-2024-140,10050000,18-Dec-24,R. Delgado,Multifamily,4150000,02/23/2024,2029-01-07,Capitol Lakes Bank,Term Loan,,0.9803,high_value_deal; strong_relationship_match,3,
Brightline Group,sales_records,SR-1240,debt_records,DBT-2024-254,7550000,"July 28, 2024",S. Whitfield,Land,"$8,000,000",17-Feb-24,2029-02-25,Highline Lending,Construction Loan,,0.9803,high_value_deal; strong_relationship_match,3,
Underhill Group,sales_records,SR-1018,debt_records,DBT-2023-018,"$11,300,000",2024-06-20,R. Delgado,Land,4650000,"July 9, 2024",2030-01-29,Golden State Credit Union,Construction Loan,,0.9791,high_value_deal; strong_relationship_match,3,
Timberlake Fund,sales_records,SR-1293,debt_records,DBT-2024-302,"$14,850,000",04-Nov-24,Priya Nair,Multifamily,5450000,11/03/2024,2029-10-18,First Capital Bank,Bridge Loan,,0.9791,high_value_deal; strong_relationship_match,3,
Rosewood Partners LP,sales_records,SR-1005,debt_records,DBT-2024-005,11050000,12/03/2024,R. Delgado,Office,"$9,850,000",04/12/2024,2029-03-02,Piedmont Capital,Construction Loan,,0.9783,high_value_deal; strong_relationship_match,3,
Silverline Realty LP,sales_records,SR-1182,debt_records,DBT-2024-188,"$4,950,000",23-Jul-24,R. Delgado,Retail,3950000,2024-05-23,2028-07-28,Piedmont Capital,Construction Loan,,0.9783,loan_maturing_soon; strong_relationship_match,3,
Hearthstone Commercial,sales_records,SR-1114,debt_records,DBT-2024-120,"$3,750,000",2024-08-20,Alicia Fox,Land,8150000,2024-09-06,2028-09-05,Desert Southwest Bank,Construction Loan,,0.9547,high_value_deal; strong_relationship_match,3,
Brightline Commercial Fund,sales_records,SR-1358,debt_records,DBT-2023-361,12300000,2024-09-06,Priya Nair,Land,7450000,"December 4, 2024",2031-02-11,Crescent City Lending,Bridge Loan,,0.9527,high_value_deal; strong_relationship_match,3,
Union Pacific Capital,sales_records,SR-1397,debt_records,DBT-2024-397,10600000,13-Dec-24,J. Alvarez,Land,6500000,29-Apr-24,2031-06-21,Lowcountry Bank,Term Loan,,0.9527,high_value_deal; strong_relationship_match,3,
Yellowpine Commercial,sales_records,SR-1291,debt_records,DBT-2024-300,10100000,2024-02-14,R. Delgado,Office,"$3,250,000",08-Oct-24,2029-09-14,Hoosier Capital Bank,Term Loan,,0.9527,high_value_deal; strong_relationship_match,3,
Steelyard Commercial,sales_records,SR-1353,debt_records,DBT-2024-357,10350000,"December 10, 2024",Alicia Fox,Multifamily,"$5,800,000","April 24, 2024",2026-02-22,Gulf Coast Bank,Construction Loan,,0.9506,high_value_deal; strong_relationship_match,3,
Redwood Residential,sales_records,SR-1033,debt_records,DBT-2024-038,"$9,700,000",27-Dec-24,Alicia Fox,Land,650000,2024-02-09,2026-03-30,Gulf Coast Bank,Construction Loan,,0.9483,high_value_deal,2,
Greystone Logistics,sales_records,SR-1045,debt_records,DBT-2024-051,10850000,10/16/2024,S. Whitfield,Multifamily,1050000,"January 7, 2024",2032-03-21,Volunteer State Bank,Term Loan,,0.9483,high_value_deal,2,
Northgate Holdings Inc,sales_records,SR-1394,debt_records,DBT-2024-393,1000000,"December 2, 2024",K. Bennett,Retail,"$6,650,000",2024-10-10,2028-08-29,Lakefront Bank,Refinance,,0.9477,high_value_deal,2,
Canyon Point Holdings,sales_records,SR-1380,debt_records,DBT-2024-382,"$13,150,000",07/05/2024,Elena Ruiz,Retail,"$7,300,000","April 26, 2024",2030-03-28,Sierra Nevada Bank,Bridge Loan,,0.9444,high_value_deal,2,
Harborview Properties,sales_records,SR-1365,debt_records,DBT-2024-365,"$5,800,000",20-Oct-24,S. Whitfield,Multifamily,6350000,19-Dec-24,2031-08-14,Delta Commercial Credit,Refinance,,0.9444,high_value_deal,2,
Pinecrest Development,sales_records,SR-1067,debt_records,DBT-2024-067,12450000,"December 10, 2024",Maria Chen,Industrial,5400000,09/30/2024,2029-07-04,Pacific Northwest Trust,Term Loan,,0.9444,high_value_deal,2,
Underhill Capital,sales_records,SR-1310,debt_records,DBT-2024-317,"$3,600,000","April 28, 2024",Wendy Park,Multifamily,8700000,03/07/2024,2029-01-02,Gateway Commercial Bank,Bridge Loan,,0.943,high_value_deal,2,
Blackthorn Retail,sales_records,SR-1073,debt_records,DBT-2024-073,6100000,"January 29, 2024",Nathan Ford,Office,6350000,"December 29, 2024",2029-01-20,Great Lakes Commercial Bank,Construction Loan,,0.943,high_value_deal,2,
Driftwood Properties,sales_records,SR-1275,debt_records,DBT-2024-288,"$14,350,000",2024-02-21,Alicia Fox,Multifamily,"$5,500,000","May 25, 2024",2032-02-06,Pacific Northwest Trust,Term Loan,,0.942,high_value_deal,2,
Quarrystone Holdings,sales_records,SR-1135,debt_records,DBT-2024-138,"$6,500,000",01/22/2024,S. Whitfield,Multifamily,1950000,06/21/2024,2030-07-07,Golden State Credit Union,Bridge Loan,,0.942,high_value_deal,2,
Silverline Residential LLC,sales_records,SR-1078,debt_records,DBT-2024-078,6050000,"March 1, 2024",Wendy Park,Industrial,"$8,600,000",2024-02-20,2029-09-18,Pacific Northwest Trust,Term Loan,,0.9416,high_value_deal,2,
Lakeshore Office Fund,sales_records,SR-1333,debt_records,DBT-2024-332,8800000,12-Nov-24,Priya Nair,Office,"$9,500,000",25-Jun-24,2025-09-08,Delta Commercial Credit,Bridge Loan,,0.94,high_value_deal,2,
Yellowpine Group,sales_records,SR-1119,debt_records,DBT-2024-125,"$13,450,000",09/15/2024,Elena Ruiz,Retail,"$3,400,000","September 12, 2024",2026-05-31,Gulf Coast Bank,Term Loan,,0.94,high_value_deal,2,
Windermere Fund,sales_records,SR-1063,debt_records,DBT-2024-066,12300000,11/28/2024,Elena Ruiz,Land,5900000,"September 16, 2024",2029-09-20,Hoosier Capital Bank,Refinance,,0.9365,high_value_deal,2,
Millbrook Capital,sales_records,SR-1202,debt_records,DBT-2024-217,9500000,2024-03-05,,Land,"$5,900,000","October 19, 2024",2029-04-14,Front Range Bank,Bridge Loan,,0.9333,high_value_deal,2,
Crestpoint Retail,sales_records,SR-1151,debt_records,DBT-2024-150,"$10,600,000",03-Oct-24,J. Alvarez,Office,6300000,"May 8, 2024",2029-04-14,Piedmont Capital,Bridge Loan,,0.9333,high_value_deal,2,
Hearthstone Group,sales_records,SR-1184,debt_records,DBT-2024-190,6500000,2024-11-10,K. Bennett,Land,"$5,700,000",26-Jun-24,2028-09-10,First Capital Bank,Refinance,,0.9333,high_value_deal,2,
Oakwood Properties Group,sales_records,SR-1351,debt_records,DBT-2024-354,"$11,550,000",15-Nov-24,Maria Chen,Retail,9450000,03/17/2024,2026-04-20,Highline Lending,Term Loan,,0.931,high_value_deal,2,
Kestrel Holdings,sales_records,SR-1035,debt_records,DBT-2024-039,11250000,07/17/2024,R. Delgado,Office,"$5,950,000",13-Apr-24,2026-07-14,Great Lakes Commercial Bank,Refinance,,0.9298,high_value_deal,2,
Prairie Wind Commercial,sales_records,SR-1019,debt_records,DBT-2024-020,12650000,2024-12-10,R. Delgado,Industrial,7350000,04/24/2024,2031-10-03,Lowcountry Bank,Construction Loan,,0.9273,high_value_deal,2,
Ember Ridge Development,sales_records,SR-1207,debt_records,DBT-2024-222,3800000,21-Dec-24,Nathan Ford,Land,"$7,200,000","September 27, 2024",2030-11-28,Lowcountry Bank,Construction Loan,,0.9273,high_value_deal,2,
Copperfield Investors,sales_records,SR-1152,debt_records,DBT-2024-152,13350000,27-Dec-24,Priya Nair,Land,3250000,2024-06-21,2029-01-26,Desert Southwest Bank,Refinance,,0.9216,high_value_deal,2,
Grayson Commercial,sales_records,SR-1040,debt_records,DBT-2024-044,6950000,2024-06-15,K. Bennett,Industrial,8350000,"July 9, 2024",2031-09-27,Capitol Lakes Bank,Refinance,,0.9111,high_value_deal,2,
Overlook Realty,sales_records,SR-1081,debt_records,DBT-2024-082,"$10,100,000","August 26, 2024",Nathan Ford,Multifamily,"$6,100,000",07/22/2024,2025-11-11,Gulf Coast Bank,Bridge Loan,,0.8974,high_value_deal,2,
Zenith Point Realty,sales_records,SR-1304,debt_records,DBT-2024-310,4750000,"April 11, 2024",Elena Ruiz,Industrial,3450000,2024-12-17,2032-03-20,Gulf Coast Bank,Bridge Loan,,1.0,strong_relationship_match,1,
